"Submission Date","","","Name as many attractions as you can that had FastPass+ as of March 1, 2020 (i.e., before the parks closed).","","Children leaving this location are given a bookmark to commemorate their visit","Belle and Aurora trade off meeting at this Epcot pavilion","This Hollywood Studios restaurant features a princess, among other characters","Jasmine can often be found with Aladdin at a space in this Adventureland shopping area","One princess was evicted to make way for four in this location that opened in 2013","Originally named after the King from a 1959 film","","This seasonally themed location took the space of an entire Epcot pavilion expansion pad","This closed location featured North American animals","It’s original location opened in 1996 relatively close to its current location that opened in 2012","This location is based on a fortress from the 13th Century","You’ll be wishing you’d bought some caramel corn right next door while waiting for Snow White at this pavilion","This location was once called Spoodles","","","Horizons - 1983","Splash Mountain - 2018","Spaceship Earth - 1982","Space Mountain - 1975","The Land - 1982","The Living Seas - 1986","IllumiNations: Reflections of Earth - 2007","Captain Eo - 1986","","it’s a small world - 1991","Enchanted Tiki Room - 1971","Tomorrowland Transit Authority - 2005","Wonders of Life - 1989","World of Motion - 1982","Rock’n’Rollercoaster - 2008","Dinosaur - 1998","If You Had Wings - 1972","","","Person #1","Person #2","Person #3 (or at least, who this *should* be)","Person #4","Person #5","Person #6","","Person #7","Person #8","Person #9","Person #10","Person #11","Person #12","","Person #13","Person #14","Person #15","Person #16","Person #17","Person #18",""
"2020-07-08 12:28:09","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Flight of Passage","Time remaining: 00:00","Tales with Belle","France","","","","","Time remaining: 00:00","","","","","Germany","","Time remaining: 00:00","Time remaining: 01:17","","","","","","","Siemens ","","Time remaining: 01:17","","","","","","","","","Time remaining: 01:17","Time remaining: 04:46","Patrick Warburton","Neil Patrick Harris ","","Martin Short","","Robin Williams","Time remaining: 04:46","","","","","Michael Jackson","","Time remaining: 04:46","Judy Dench","","","","","","Time remaining: 04:46"
"2020-07-06 16:13:16","Time remaining: 00:00","Time remaining: 00:00","Buzz Lighyear’s Space Ranger Spin","Time remaining: 00:00","Belle Fantasyland Attraction","France ","Brown Derby","Zanzibar ","Princess fairytale hall","Arthur","Time remaining: 00:00","Millennium village","Maelstrom","","Norway","Germany ","Flying fish. ","Time remaining: 00:00","Time remaining: 00:00","","Ziploc","Att","","Nestle","","Siemans","Not captain EO crunch ","Time remaining: 00:00","Coca cola","Dole","Goodyear","","","Levi","McDonald’s","Delta","Time remaining: 00:00","Time remaining: 02:55","Patrick warburton ","Neil Patrick harris","Ellen degeneres","Martin short","Gilbert godfrey","Robin Williams. ","Time remaining: 02:41","","Felicia Radhad","","","Michael Jackson","Michael Richards ","Time remaining: 02:41","Same Judy Dench","Rhea Pearlman","","Tone Loc","John Livitz","","Time remaining: 02:41"
"2020-07-06 16:12:47","Time remaining: 00:00","Time remaining: 00:00","Space Mountain
 Tomorrowland Indy Speedway
 Astro Orbiter
 Seven Dwarves Mine Train
 Peter Pan's FLight
 It's a Small World
 The Great Goofini/Barnstormer
 The Many Adventures of Winnie the Pooh
 Journey of the Little Mermaid
 Voyage of the Little Mermaid
 Haunted Mansion
 Pirates of the Caribbean
 Splash Mountain
 Big Thunder Mountain Railroad
 Jungle Cruise
 Test Track
 Mission: SPACE
 Spaceship Earth
 The Seas with Nemo and Friends
 Living with the Land
 Soarin
 Journey into your imagination with figment
 expedition everest
 dinosaur
 festival of the lion king
 kilimanjaro safaris
 finding nemo the musical
 flight of passage
 navi river journey
 smugglers run
 tower of terror
 rockin roller coaster
 indiana jones stunt show
 frozen sing along
 Frozen ever after
 It's Tough to be a bug","Time remaining: 00:00","Enchanted Tales with Belle","France","Hollywood and Vine","Adventureland Bazaar","Fairytale Hall","King Arthur's","Time remaining: 00:00","Anna & Elsa's Sommerhaus","Rafiki's Planet Watch","Pooh's Treehouse","Fantasyland Walls","Germany","","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Siemens","","Kraft","","","","Time remaining: 00:00","Sylvania","Florida Citrus Commission","","Johnson & Johnson","General Motors","Capital Records","","Eastern Airlines","Time remaining: 00:00","Time remaining: 02:32","","Neil Patrick Harris","Ellen DeGeneres","Martin Short","Gilbert Godfrey","Robin Williams","Time remaining: 02:32","","Felicia Rashad","","","Michael Jackson","","Time remaining: 02:32","Judy Dench","","","","","","Time remaining: 02:32"
"2020-07-06 16:12:34","Time remaining: 00:00","Time remaining: 00:00","Space mountain ","Time remaining: 00:00","Belles story book read along ","France","","Market","Snow white","","Time remaining: 00:00","America","Animal kingdom ","","","Germany ","Tomorrow land terrace","Time remaining: 00:00","Time remaining: 00:00","Kraft","","","","","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 02:43","The guy from family guy","Niel Patrick Harris ","Ellen","Martin short","Gilbert godfried ","Robin williams","Time remaining: 02:43","","Phylicia Rishad","","Alison jeney ","Michael Jackson ","","Time remaining: 02:43","Judy Dench","Rhea Perlman ","Kevin something","Tone loc","SNL GUY","Gary carter! Let’s go Mets!!","Time remaining: 02:43"
"2020-07-06 16:12:32","Time remaining: 00:00","Time remaining: 00:00","Space Mountain","Time remaining: 00:00","Belle’s show","Princess Hall","Hollywood and Vine","Oasis","Royal meeting hall","","Time remaining: 00:00","Springtime cafe","","","","London","","Time remaining: 00:00","Time remaining: 01:20","","Ziploc","Kodak","","","","","","Time remaining: 01:20","","Dole","","","","","","","Time remaining: 01:20","Time remaining: 03:58","David puddy ","Neal Patrick Harris ","Ellen degeneres","Martin short","","Robin williams","Time remaining: 03:58","The lawyer from Suits","Mom Cosby ","","","Michael jackson","Richards","Time remaining: 03:58","","Rhea pearl man ","","Tone loc","Jon lovitz ","Nope ","Time remaining: 03:58"
"2020-07-06 16:11:17","Time remaining: 00:00","Time remaining: 00:00","Splash Mountain
 Seven Dwarfs Mine Train
 The Barnstormer
 Space Mountain
 Big Thunder Mountain Railroad
 Princess Fairytale Hall-Tiana and Rapunzel
 Princess Fairytale Hall-Cinderella and Elena
 Under the Sea-Journey of the Little Mermaid
 Meet Ariel at her Grotto
 Meet Tinker Bell in Town Square Theater
 Meet Mickey Mouse in Town Square Theater
 Tomorrowland Speedway
 Mad Tea Party
 The Many Adventures of Winnie the Pooh
 Expedition Everest
 Kilimanjaro Safaris
 Flight of Passage
 Soarin 
 Test Track
 ","Time remaining: 00:29","Enchanted Tales with Belle","France","Hollywood and Vine","Agrabah Bazaar","Princess Fairytale Hall","Cinderella’s Royal Table","Time remaining: 00:29","World Showplace","Discovery Island","","","Germany","","Time remaining: 00:29","Time remaining: 02:14","","Ziploc","","","","","","","Time remaining: 02:14","","","","","","Hanes","","Delta","Time remaining: 02:14","Time remaining: 04:47","","Neil Patrick Harris","Ellen DeGeneres ","Martin Short","","Robin Williams","Time remaining: 04:47","","","","","Michael Jackson","","Time remaining: 04:47","Judi Dench","","","","","","Time remaining: 04:47"
"2020-07-06 16:10:39","Time remaining: 00:00","Time remaining: 00:00","Seven dwarfs mine train","Time remaining: 00:00","Belle's enchanted","France","Hollywood and vine","","Snow White scary adventure - Princess fairytale hall","King Stephens carolsel ( Sleeping beauty)","Time remaining: 00:00","","Camp Minnie mickey","","Norway pavilion","Germany","Flying fish","Time remaining: 00:00","Time remaining: 00:00","General Electric","","Bell Telephone","","Nestle","","Siemens","Kodak","Time remaining: 00:00","Mattel","","Goodyear","Met life","General motors","","","Pan Am","Time remaining: 00:00","Time remaining: 04:06","","Neal Patrick Harris","Ellen DeGeneres","","","Robin Williams","Time remaining: 04:06","","","","","Michael Jackson","","Time remaining: 04:06","Dame Judy densch","","","","","","Time remaining: 04:05"
"2020-07-06 16:10:13","Time remaining: 00:00","Time remaining: 00:00","Expedition Everest
 Radiator Springs racers
 Test Trek
 Soarin’ 
 Dinosaur 
 Kali River Rapids
 Kilimanjaro safari
 Pirates of the Caribbean 
 Jungle cruise
 Splash mountain 
 Big thunder mountain railroad 
 Mickey’s Phillarmagic
 Space mountain 
 Mission space","Time remaining: 00:00","","France","Hollywood and vine","Adventureland bazaar ","Princess fairytale hall","Cinderella’s royal table","Time remaining: 00:00","Festival center","Camp Mickey ","Mickey’s toonrown fair","","Germany ","Trattoria al forno ","Time remaining: 00:00","Time remaining: 00:40","GE","Zip lock ","Bell system ","RCA","Kraft","United Technologies ","Siemens","Kodak","Time remaining: 00:40","","Florida citrus company ","Alamo","MET life","GM","Hanes","MCdonnalds","Eastern airlines ","Time remaining: 00:40","Time remaining: 04:29","","Neil Patrick Harrison ","Ellen de generes ","Eric idle ","That parrot guy","Robin Williams ","Time remaining: 04:29","","","","","Michael Jackson ","","Time remaining: 04:29","Judy Dench ","","","","","","Time remaining: 04:29"
"2020-07-06 16:09:42","Time remaining: 00:00","Time remaining: 00:00","Spaceship earth
 Test track
 Mission space
 Living with the land
 The seas with Nemo and friends
 Turtle talk
 Soarin
 Journey into imagination
 Grand fiesta tour
 Frozen boat ride
 Monsters inc laugh floor
 Buzz light year space ranger spin
 Space mountain
 Tomorrowland speedway
 Seven dwarfs mine train 
 Peter pans flight
 Haunted mansion
 Big thunder mountain
 Splash mountain
 Tower of terror 
 Jungle cruise
 Flight of passage
 Star tours
 Beauty and the beast live on stage
 Rock and roller coaster
 Expedition Everest ","Time remaining: 00:00","Enchanted tales with belle","France ","Akushush","","Princess fairytale hall ","","Time remaining: 00:00","Equatorial Africa ","","Norway","Morocco ","Germany ","","Time remaining: 00:00","Time remaining: 00:00","GE","Ziplock","At&t","Rca","Dole","","","Kodak","Time remaining: 00:00","","Dole","Rcm","Metlife","Ford","Haynes","McDonalds","Delta","Time remaining: 00:00","Time remaining: 02:58","Patrick warburtton","Neil Patrick harris","Ellen degeneris","Martin short","Gilbert godfried","Robin williams","Time remaining: 02:58","","Felisha rashard","Bill mckim","Allison janey","Michael Jackson ","Kevin Richardson ","Time remaining: 02:58","Dame Judi dench","","","Tone loc","John lovitts","","Time remaining: 02:58"
"2020-07-06 16:08:22","Time remaining: 00:00","Time remaining: 00:00","Seven dwarf mine train ","Time remaining: 00:00","","France","","Across from the dole whips ","Aurora","","Time remaining: 00:00","Norway ","Pocahontas ","","Brave","Germany","","Time remaining: 00:00","Time remaining: 02:06","","Ziploc","Siemens","","","","","","Time remaining: 02:06","","","","","","","","","Time remaining: 02:06","Time remaining: 04:53","","Neil Patrick Harris ","Ellen degenras","","","","Time remaining: 04:53","","","","","Michael Jackson ","","Time remaining: 04:53","","","","","","","Time remaining: 04:53"
"2020-07-06 16:06:33","Time remaining: 00:00","Time remaining: 00:00","It's a small world","Time remaining: 00:00","Story time with belle","France","Hollywood and vine","Sunglass hut","Fairytale hall","Arthur","Time remaining: 00:00","","Rafikis planet watch","","Pirates","Germany","","Time remaining: 00:00","Time remaining: 00:00","Gm","Ziploc","","","","","Siemens","","Time remaining: 00:00","At&t","Dole","Goodyear","","Gm","","","Delta","Time remaining: 00:00","Time remaining: 03:43","Patrick Warburton","Neil Patrick Harris","Ellen DeGeneres","Martin short","","Robin Williams","Time remaining: 03:43","","Phyllis rashad","","","Michael Jackson","Michael richards","Time remaining: 03:43","Just dench","","","","","","Time remaining: 03:43"
"2020-07-06 16:06:04","Time remaining: 00:00","Time remaining: 00:00","Flight of passage","Time remaining: 00:00","","French ","Hollywood and vine","","Cinderella ","","Time remaining: 00:00","","","","","German ","","Time remaining: 00:00","Time remaining: 00:00","","","Ge","Ge","Kraft","","Siemens ","","Time remaining: 00:00","","","Ge","","","","McDonald’s","Delta ","Time remaining: 00:00","Time remaining: 03:24","","Neil Patrick Harris ","Ellen ","Martin short","Gilbert Gottfried","Robin Williams","Time remaining: 03:19","Gonna Torres ","","","","Michael Jackson ","","Time remaining: 03:11","","","","","","","Time remaining: 03:11"
"2020-07-06 16:05:32","Time remaining: 00:00","Time remaining: 00:00","It’s a Small World
 Peter Pan’s Flight
 Jungle Cruise
 Pirates of the Caribbean
 Space Mountain
 Big Thunder Moutain Railroad
 Splash Mountain
 Soarin’
 Mission: SPACE
 Test Track
 Journey into Imagination with Figment
 The Seas with Nemo and Friends
 Living with the Land
 Pixar Short Film Festival
 Frozen Ever After
 Navi’i River Journey
 DINOSAUR
 Mickey & Minnie’s Runaway Railway
 Indiana Jones Stunt Spectacular
 Star Tours
 Smuggler’s Run
 Aladdin’s Magic Carpet Ride
 Avatar Flight of Passage","Time remaining: 00:00","","France","The Brown Derby","","Royal Palace in MK?","Arthur","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Bell Systems","","Kraft","United Technologies","Siemens","","Time remaining: 00:00","Coca Cola","","Ford","MetLife","Chrysler","Hanes","","United","Time remaining: 00:00","Time remaining: 03:54","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","","Gilbert Godfried","Robin Williams","Time remaining: 03:50","","","","","Michael Jackson","","Time remaining: 03:50","Dame Judi Dench","","","","","","Time remaining: 03:50"
"2020-07-06 16:05:31","Time remaining: 00:00","Time remaining: 00:00","Big Thunder Mountain Railroad
 Space Mountain
 Peter Pan’s Flight
 It’s a Small World
 Enchanted Tales with Belle
 Pirates of the Caribbean
 Expedition Everest
 Avatar: Flight of Passage
 Kali River Rapids
 Spaceship Earth
 Test Track
 Living with the Land
 Frozen Ever After
 Tower of Terror
 Millenium Falcon: Smuggler’s Run","Time remaining: 00:16","Enchanted Tales with Belle","France","Hollywood and Vine","The Bazarre","Fairytale Hall","King Arthur’s Carousell","Time remaining: 00:16","Meet Anna and Elsa","Camp Minnie Mickey","","","Germany","","Time remaining: 00:16","Time remaining: 02:26","GM","Kodak","","","","","","","Time remaining: 02:26","","","","Kraft","General Motors","","","Delta","Time remaining: 02:26","Time remaining: 05:12","","","Ellen Degeneres","Martin Short","","Robin Williams","Time remaining: 05:12","","","","","Michael Jackson","","Time remaining: 05:12","","","","","","","Time remaining: 05:12"
"2020-07-06 16:03:30","Time remaining: 00:00","Time remaining: 00:00","Flight of passage
 Navi river journey 
 Seven dwarves mine train
 Big thunder mountain
 Splash mountain 
 Test track
 Nemo
 Mission space
 Expedition Everest 
 Space mountain
 Peter pan's flight
 Dumbo
 Toy story mania
 Slinky dog","Time remaining: 00:00","","","","","","","Time remaining: 00:00","","","","","","","Time remaining: 00:00","Time remaining: 01:07","","","","","","","","","Time remaining: 01:07","","","","","","","","","Time remaining: 01:07","Time remaining: 03:38","Patrick warburton","Neil Patrick harris","","Martin short","Gilbert godfried","Robin williams","Time remaining: 03:38","","Phylisia rashaad","","Allison janey","Michael Jackson ","","Time remaining: 03:38","Judi dench","Rhea pearlman","","Tone loc","Jon lovitz","","Time remaining: 03:37"
"2020-07-06 16:02:38","Time remaining: 00:00","Time remaining: 00:00","Splash mountain
 Space mountain 
 Big thunder mountain
 Pirates of the Caribbean
 Haunted mansion 
 Jungle cruise
 Dumbo
 It’s a small world 
 Peter pans flight 
 Seven dwarfs mine train
 Winnie the Pooh
 Flight of passage
 Navi river journey
 Buzz Lightyear’s space ranger spin
 Kilimanjaro safaris
 Festival of the lion king
 Kali river rapids
 Expedition Everest
 Dinosaur
 Primeval whirl
 It’s tough to be a bug
 Test track
 Mission space
 Soarin around the world
 Living with the land
 Spaceship earth
 The seas with Nemo and friends
 Frozen ever after
 Tower of terror
 Rock n roller coaster
 Runaway railway","Time remaining: 00:00","","France","Hollywood and Vine","Adventureland Bazzar","Princess Fairytale Hall","Cinderella’s Royal Table","Time remaining: 00:00","Festival Center","Camp Minnie Mickey","","","Germany","Trattoria el Forna","Time remaining: 00:00","Time remaining: 00:07","GE","Ziploc","Bell System","RCA","Kraft","United Technologies ","GE","Kodak","Time remaining: 00:07","Mattel","Dole","Goodyear","MetLife","GM","Hanes","McDonalds","Eastern Airlines","Time remaining: 00:07","Time remaining: 03:17","Patrick Warburton","Neil Patrick harris","Ellen Degenerous","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 03:17","","Phalicia Rashad","Michael Higgins","Allison Janey ","Michael Jackson","Michael Richards","Time remaining: 03:17","Just Dench","Rea Pearlmon","Kevin Pollock","Tone Loc","John Lovitz ","Gary Carter (actually met him at the MK)","Time remaining: 03:17"
"2020-07-06 16:02:38","Time remaining: 00:00","Time remaining: 00:00","Big thunder
 Space mountain
 Peter Pan
 Splash mountain
 Seven dwarves mine train
 Kilimanjaro safaris
 Dinosaur
 Toy story mania
 Buzz light years space ranger spin
 It’s a small world
 Lion King show
 Finding Nemo the musical
 Rock and Rollercoaster
 Tower of terror","Time remaining: 00:00","Belles enchanted tales","France","Hollywood and Vine","","Princess fayre","","Time remaining: 00:00","","","","Norway","Germany","","Time remaining: 00:00","Time remaining: 00:00","","","","","Nestle","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 03:23","","Neil Patrick Harris","Ellen DeGeneres","","","Robin Williams","Time remaining: 03:23","","","","","Michael Jackson","","Time remaining: 03:23","Dame Judy Dench","","","","","","Time remaining: 03:23"
"2020-07-06 16:02:05","Time remaining: 00:00","Time remaining: 00:00","Space Moutain
 Thunder Mountain
 Splash Mountain
 It's a Small World
 Peter Pan
 Haunted Mansion
 Jungle Cruise
 Dumbo
 Mad Hatter's Tea Party
 Tomorrowland Speedway
 Buzz Lightyear 
 Pirates of the Caribbean","Time remaining: 00:00","","France","","Bazaar","","","Time remaining: 00:00","","Discovery Island","","Italy","Germany","","Time remaining: 00:00","Time remaining: 00:54","","Ziploc","GE","","","","","","Time remaining: 00:54","","","","","","","","Pan AM","Time remaining: 00:54","Time remaining: 04:09","Patrick Warburton","Neil Patrick Harris","Christopher Lloyd","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 04:09","","","","","MJ","Michael Richards","Time remaining: 04:09","Judy Dench","Rhea Perlman","","Tone Loc","John Lovitts","","Time remaining: 04:09"
"2020-07-06 16:02:00","Time remaining: 00:00","Time remaining: 00:00","Expedition Everest
 Many Adventures of Winnie the Pooh
 Big Thunder Mountain Railroad
 Splash Mountain
 Seven Dwarves Mine Train","Time remaining: 00:00","Nick's Van","France","","Bazar","Snow White","","Time remaining: 00:00","Millennium Village","","","","Germany","","Time remaining: 00:00","Time remaining: 01:51","General Electric","","AT&T","RTX","Chiquita","","Siemens","","Time remaining: 01:51","","","","Met Life","","","","Easter Airlines","Time remaining: 01:51","Time remaining: 05:03","Patrick Warburton","Neil Patrick Harris","Ellen DeGeneres","Martain Short","Gilbert Godfreed","Robin WIlliams","Time remaining: 05:03","","","","","Michael Jackson","","Time remaining: 05:03","","","","","","","Time remaining: 05:03"
"2020-07-06 16:00:14","Time remaining: 00:00","Time remaining: 00:00","Avatar both rides
 Everest
 Peterpan
 Small world
 Under the sea
 Barnstormer
 Spaceship earth
 Frozen
 Mission space
 Figment
 Living with the land
 Soaring
 Mickey and Minnie's railway
 Star wars all 3 
 Haunted mansion
 Big thunder
 Splash
 Space
 Laugh floor","Time remaining: 00:00","","france","princess Minnie? Hollywood and vine","agrabah bazzar","next to the carousal in fantasyland","king arthur carousal from sleeping beauty","Time remaining: 00:00","wonders of life","","","","Germany","","Time remaining: 00:00","Time remaining: 00:00","","ziploc","","","","","","","Time remaining: 00:00","","orange bird","goodyear","","","","","delta airlines","Time remaining: 00:00","Time remaining: 03:46","Patrick warburton","Neil Patrick harris","Ellen degeneres","martin short","","robin williams","Time remaining: 03:46","","","","","Michael jackson","","Time remaining: 03:46","Judy dench","","","","","","Time remaining: 03:46"
"2020-07-06 15:59:44","Time remaining: 00:00","Time remaining: 00:00","Test Track
 Soarin
 Mission Space
 Frozen Ever After
 Rock n Roller Coaster
 Tower of Terror
 Toy Story Midway Mania
 Slinky Dog Dash
 Alien Swirling Saucers
 Frozen Sing-a-long
 Star Tours
 Flight of Passage
 Na'vi River Journey
 Kilamanjaro Safaris
 Expedition Everest
 Dinosaur
 Finding Nemo The Musical
 Jungle Cruise
 Pirates of the Carribean
 Big Thunder Railroad
 Haunted Mansion
 Seven Dwarves Mine Train
 Dumbo","Time remaining: 00:00","Belle's Enchanted Tales","France","Hollywood and Vine","Casbah Marketplace","Princess Hall","","Time remaining: 00:00","Food and Wine Pavillion","Camp Minnie Mickey","Storybook Circus","Wilderness Lodge","Germany","Tomorrowland Terrace","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","AT&T","RCA","Kraft","United Technologies","Seimens","Kocak","Time remaining: 00:00","Sylvania","Dole","Alamo","Metlife","Ford","Gibson","Mcdonalds","TWA","Time remaining: 00:00","Time remaining: 03:10","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gotfreid","Robin Williams","Time remaining: 03:10","","Phylicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 03:10","Judy Dench","","","","","","Time remaining: 03:10"
"2020-07-06 15:59:41","Time remaining: 00:00","Time remaining: 00:00","Flight of Passage
 ","Time remaining: 00:00","Cinderella’s Royal Table","France","Hollywood & Vine","Agrabah Gifts","Snow White","","Time remaining: 00:00","","","","Canada","Caramel Kuchen","","Time remaining: 00:00","Time remaining: 00:00","GE","Ziploc","","","","","Siemens","","Time remaining: 00:00","","","","","","Hanes","McDonalds","","Time remaining: 00:00","Time remaining: 01:34","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 01:34","","Phylicia Rashad","John Higgins","","Michael Jackson","Kramer","Time remaining: 01:34","Judi Dench","Howard Stern","Kevin Pollak","","","","Time remaining: 01:34"
"2020-07-06 15:58:52","Time remaining: 00:00","Time remaining: 00:00","Test track","Time remaining: 00:00","Enchanted tales with belle","France","Minnies dine inn ","Bazaar ","Fairy tale hall","Kong","Time remaining: 00:00","Oh Canada ","Rafiki planet watch","Tower of terror","Coronado springs","Germany","Spaceship earth","Time remaining: 00:00","Time remaining: 00:00","gTE","Kodak","IBM ","Ford","FFA ","Sea world","Siemens","George Lucas ","Time remaining: 00:00","Micro machines","Trader Sam ","Chevy","Blue cross blue shield","Ford","Columbia records","Universal studios","Pan am","Time remaining: 00:00","Time remaining: 03:30","Patrick warburton ","Neil Patrick harris","Exorcist lady","Martin short ","Gilbert godfried ","Robin Williams ","Time remaining: 03:30","Angelica Huston ","Claire huxtable","That guy","That girl ","Michael Jackson ","Michael racist","Time remaining: 03:30","Old lady from titanic ","Hippie ","Mr E ","MC hammer ","John lovitz","Jim from the office ","Time remaining: 03:30"
"2020-07-06 15:58:51","Time remaining: 00:00","Time remaining: 00:00","Peter Pan's Flight
 it's a small world
 Monster's Inc. Laugh Floor
 Buzz Lightyear Space Ranger Spin
 Tomorrowland Speedway
 Tea Cups
 Barnstormer
 Mickey Meet and Greet
 Tink Meet and Greet
 Living Seas with Nemo and Friends
 Spaceship Earth
 Journey into Your Imagination with Figment
 Test Track
 Living with the Land
 Soarin' Around the World
 Frozen Ever After
 Rock n Rollercoaster
 Tower of Terror
 Beauty and the Beast Show","Time remaining: 00:00","Enchanted Tales with Belle","France","","","Fantasyland meet and greet","Cinderella's Royal Table was King Stefon's","Time remaining: 00:00","","","","Akershus","Germany","","Time remaining: 00:00","Time remaining: 00:00","GE","Zip Loc","Bell","RCA","Kraft","","","Kodak","Time remaining: 00:00","","Orange Juice","Goodyear","Met Life","GM","","","Continental","Time remaining: 00:00","Time remaining: 03:05","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres","Martin Short","Gilbert Gottfried","Robin Williams","Time remaining: 03:05","Gina Torres","Felicia Rashad","John Michael Higgins","Allison Janney","Michael Jackson","Michael Richardson","Time remaining: 03:05","Dame Judy Dench","Rhea Perlman","Kevin Pollack","Tone Loc","Jon Lovitz","Gary Carter","Time remaining: 03:05"
"2020-07-06 15:58:47","Time remaining: 00:00","Time remaining: 00:00","Flight of Passage
 Kilamanjaro Safari
 Dinosaur
 Navi River Journey
 Space Mountain
 Big Thunder Mountain
 Buzz Light Year Space Ranger Spin
 Seven Dwarves Mine Train
 Peter Pan's Flight
 It's a Small World
 Haunted Mansion
 Jungle Cruise
 Pirates of the Caribbean
 Slinky Dog Dash
 Smuggler's Run
 Alien Swirling Saucers
 Beauty and the Beast
 The Little Mermaid","Time remaining: 00:00","","France","","Agroba","","","Time remaining: 00:00","","","","Pirates of the Carribbean","Germany","","Time remaining: 00:00","Time remaining: 00:00","","Zip Lock","","","Kraft","","","","Time remaining: 00:00","","Dole","","Metlife","Chevrolet","Aerosmith","","American Airlines","Time remaining: 00:00","Time remaining: 00:47","","Neil Patrick Harris","Ellen ","","","Robin Williams","Time remaining: 00:47","","Phylicia Rashad","","Allison Janey","Michael Jackson","","Time remaining: 00:47","Judy Dench","Danny Divito's Wife","","","John Lovitz","","Time remaining: 00:47"
"2020-07-06 15:57:49","Time remaining: 00:00","Time remaining: 00:00","Peter Pan’s Flight
 It’s a Small World
 Haunted Mansion
 Splash Mountain (RIP)
 Thunder Mountain
 Pirates of the Caribbean 
 Jungle Cruise
 Space Mountain
 Dumbo
 Buzz Light Year Space Ranger Spin
 Many Adventures of Winnie the Pooh
 Little Mermaid Ariel’s Under the Sea Adventure
 Seven Dwarves Mine Train
 Test Track
 Mission Space
 Spaceship Earth
 Soarin’
 Frozen Ever After
 Living with the Land
 Expedition Everest
 Dinosaur
 Kilimanjaro Safari
 Kali River Rapids
 Flight of Passage
 Na’vi River Journey
 Tower of Terror
 Rock n Rollercoaster
 Star Tours
 Mickey and Minnie’s Runaway Railway
 Toy Story Mania","Time remaining: 00:00","Enchanted Tales With Belle?","France","Hollywood Brown Derby?","The Bazar ","Princess Fairytale Hall (Replaced Snow White’s Scary Adventures)","King Louie? Jungle Book?","Time remaining: 00:00","Millennium Village","Camp Minnie Mickey?","Dumbo?","Pirates of the Caribbean?","Germany","Trattoria al Forno","Time remaining: 00:00","Time remaining: 00:00","General Electric","Ziploc","Seimens","RCA","Nestle","United Tech","Seimens","Kodak","Time remaining: 00:00","Mattel?","Dole","Goodyear ","MetLife ","General Motors","Hanes?","McDonalds","Eastern Airlines","Time remaining: 00:00","Time remaining: 03:20","Patrick Warburton","Neil Patrick Harris","Ellen Degeneres ","Martin Short","Gilbert Godfried","Robin Williams","Time remaining: 03:19","?","?","John Michael Higgins","?","Michael Jackson","Michael Richards","Time remaining: 02:57","?","?","?","?","?","Gary Carter","Time remaining: 02:34"
"2020-07-06 15:57:46","Time remaining: 00:00","Time remaining: 00:00","Haunted Mansion
 Avatar: Flight of Passage
 Navvi River Journey
 It's a Small World
 Big Thunder Mountain Railroad
 Pirates of the Caribbean
 Jungle Cruise
 Peter Pan
 Storytime with Belle
 Space Mountain
 Monster's Inc Laugh-in
 Buzz Lightyear's Space Ranger Spin
 Seven Dwarfs Mine Train
 Barnstormer
 Philharmagic
 Mission: Space
 Soarin'
 Test Track
 Spaceship Earth
 Frozen","Time remaining: 00:00","Storytime with Belle","France","Hollywood & Vine","","Prince Charming's Carousel","","Time remaining: 00:00","","Rafiki's Planet Watch","","Cinderella's Castle","","","Time remaining: 00:00","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","","","","","","","","","Time remaining: 00:00","Time remaining: 01:13","","Neil Patrick Harris","","","Gilbert Godfried","Robin Williams","Time remaining: 01:13","","Phylicia Rashad","","","Michael Jackson","Michael Richards","Time remaining: 01:13","","","","","John Lovitz","","Time remaining: 01:13"
"2020-07-06 15:57:28","Time remaining: 00:00","Time remaining: 00:00","it’s a small world","Time remaining: 00:00","enchanted tales with belle","france","hollywood and vine","outpost","princess fairytale hall","","Time remaining: 00:00","event center","","","tom sawyer island ","germany","","Time remaining: 00:00","Time remaining: 02:05","","","simens","","","","","","Time remaining: 02:05","","","","","","","","","Time remaining: 02:05","Time remaining: 04:47","","neil patrick harris","","martin short","","robin williams ","Time remaining: 04:47","","","","alison janey","michael jackson","","Time remaining: 04:47","judy dinsh","","","","","","Time remaining: 04:47"
"2020-07-06 15:56:31","Time remaining: 00:00","Time remaining: 00:00","haunted mansion
 splash mountain
 space mountain
 big thunder mountain
